shot_id,section,tc_est,hold_seconds_est,prompt,negative_prompt,aspect_ratio,seed_group,notes,status,output_url
36,13 Staircase,11:20,40,"a camel caravan silhouetted at great distance on a dune ridge at sunset, tiny in frame, no detail resolvable, cinematic still, anamorphic 35mm, shallow depth of field, warm low-angle desert light, airborne dust catching the sun, muted earth palette of ochre sand bone and oxidised brass with deep indigo shadow, soft natural film grain, high dynamic range, restrained painterly photographic realism, historically grounded 7th-century Hijaz, no text, no arabic script, no calligraphy, no lettering, no watermark","text, letters, arabic script, calligraphy, pseudo-arabic, numerals, signage, watermark, logo, human face, portrait, figure in foreground, prophet, religious figure, halo, glowing person, statue, idol, crucifix, modern clothing, wristwatch, plastic, eyeglasses, power lines, vehicles, anachronistic architecture, extra fingers, deformed hands, cartoon, anime, neon, oversaturated, HDR halo, lens flare, close camel, rider face",16:9,,,,
37,13 Staircase,11:40,35,"weathered sun-darkened hands, forearms in undyed coarse linen, no face and nothing above the chest in frame passing a small object, a ring or a folded cloth, across a saddle blanket, extreme close-up, cinematic still, anamorphic 35mm, shallow depth of field, warm low-angle desert light, airborne dust catching the sun, muted earth palette of ochre sand bone and oxidised brass with deep indigo shadow, soft natural film grain, high dynamic range, restrained painterly photographic realism, historically grounded 7th-century Hijaz, no text, no arabic script, no calligraphy, no lettering, no watermark","text, letters, arabic script, calligraphy, pseudo-arabic, numerals, signage, watermark, logo, human face, portrait, figure in foreground, prophet, religious figure, halo, glowing person, statue, idol, crucifix, modern clothing, wristwatch, plastic, eyeglasses, power lines, vehicles, anachronistic architecture, extra fingers, deformed hands, cartoon, anime, neon, oversaturated, HDR halo, lens flare",16:9,,,,
38,13 Staircase,12:00,40,"a single oil lamp burning on a stone sill at night, town rooftops in blue darkness beyond, cinematic still, anamorphic 35mm, shallow depth of field, warm low-angle desert light, airborne dust catching the sun, muted earth palette of ochre sand bone and oxidised brass with deep indigo shadow, soft natural film grain, high dynamic range, restrained painterly photographic realism, historically grounded 7th-century Hijaz, no text, no arabic script, no calligraphy, no lettering, no watermark","text, letters, arabic script, calligraphy, pseudo-arabic, numerals, signage, watermark, logo, human face, portrait, figure in foreground, prophet, religious figure, halo, glowing person, statue, idol, crucifix, modern clothing, wristwatch, plastic, eyeglasses, power lines, vehicles, anachronistic architecture, extra fingers, deformed hands, cartoon, anime, neon, oversaturated, HDR halo, lens flare",16:9,,,,
39,14 Small things,12:30,35,"two long shadows of standing figures cast across pale stone paving, the figures themselves entirely out of frame, cinematic still, anamorphic 35mm, shallow depth of field, warm low-angle desert light, airborne dust catching the sun, muted earth palette of ochre sand bone and oxidised brass with deep indigo shadow, soft natural film grain, high dynamic range, restrained painterly photographic realism, historically grounded 7th-century Hijaz, no text, no arabic script, no calligraphy, no lettering, no watermark","text, letters, arabic script, calligraphy, pseudo-arabic, numerals, signage, watermark, logo, human face, portrait, figure in foreground, prophet, religious figure, halo, glowing person, statue, idol, crucifix, modern clothing, wristwatch, plastic, eyeglasses, power lines, vehicles, anachronistic architecture, extra fingers, deformed hands, cartoon, anime, neon, oversaturated, HDR halo, lens flare",16:9,,,,
40,14 Small things,13:00,25,"plain coins passing over a market counter mid-exchange, motion blur, weathered sun-darkened hands, forearms in undyed coarse linen, no face and nothing above the chest in frame only, cinematic still, anamorphic 35mm, shallow depth of field, warm low-angle desert light, airborne dust catching the sun, muted earth palette of ochre sand bone and oxidised brass with deep indigo shadow, soft natural film grain, high dynamic range, restrained painterly photographic realism, historically grounded 7th-century Hijaz, no text, no arabic script, no calligraphy, no lettering, no watermark","text, letters, arabic script, calligraphy, pseudo-arabic, numerals, signage, watermark, logo, human face, portrait, figure in foreground, prophet, religious figure, halo, glowing person, statue, idol, crucifix, modern clothing, wristwatch, plastic, eyeglasses, power lines, vehicles, anachronistic architecture, extra fingers, deformed hands, cartoon, anime, neon, oversaturated, HDR halo, lens flare, stamped coins, minted design",16:9,coins,Immediate trade — needs to read as fast.,,
41,14 Small things,13:30,35,"a very small pile of copper coins alone on a vast empty wooden table, wide shot, emphasising the emptiness around them, cinematic still, anamorphic 35mm, shallow depth of field, warm low-angle desert light, airborne dust catching the sun, muted earth palette of ochre sand bone and oxidised brass with deep indigo shadow, soft natural film grain, high dynamic range, restrained painterly photographic realism, historically grounded 7th-century Hijaz, no text, no arabic script, no calligraphy, no lettering, no watermark","text, letters, arabic script, calligraphy, pseudo-arabic, numerals, signage, watermark, logo, human face, portrait, figure in foreground, prophet, religious figure, halo, glowing person, statue, idol, crucifix, modern clothing, wristwatch, plastic, eyeglasses, power lines, vehicles, anachronistic architecture, extra fingers, deformed hands, cartoon, anime, neon, oversaturated, HDR halo, lens flare, stamped coins",16:9,coins,Small or large. The smallness is the point.,,
42,14 Small things,14:10,40,"an unrolled prayer mat in an empty room at pre-dawn, no person, blue light through a high window, cinematic still, anamorphic 35mm, shallow depth of field, warm low-angle desert light, airborne dust catching the sun, muted earth palette of ochre sand bone and oxidised brass with deep indigo shadow, soft natural film grain, high dynamic range, restrained painterly photographic realism, historically grounded 7th-century Hijaz, no text, no arabic script, no calligraphy, no lettering, no watermark","text, letters, arabic script, calligraphy, pseudo-arabic, numerals, signage, watermark, logo, human face, portrait, figure in foreground, prophet, religious figure, halo, glowing person, statue, idol, crucifix, modern clothing, wristwatch, plastic, eyeglasses, power lines, vehicles, anachronistic architecture, extra fingers, deformed hands, cartoon, anime, neon, oversaturated, HDR halo, lens flare, person praying, figure, kneeling man",16:9,,,,
43,15 Counterweight,15:00,40,"a freshly dug grave plot marked with two plain unmarked stones, dawn light, no people, cinematic still, anamorphic 35mm, shallow depth of field, warm low-angle desert light, airborne dust catching the sun, muted earth palette of ochre sand bone and oxidised brass with deep indigo shadow, soft natural film grain, high dynamic range, restrained painterly photographic realism, historically grounded 7th-century Hijaz, no text, no arabic script, no calligraphy, no lettering, no watermark","text, letters, arabic script, calligraphy, pseudo-arabic, numerals, signage, watermark, logo, human face, portrait, figure in foreground, prophet, religious figure, halo, glowing person, statue, idol, crucifix, modern clothing, wristwatch, plastic, eyeglasses, power lines, vehicles, anachronistic architecture, extra fingers, deformed hands, cartoon, anime, neon, oversaturated, HDR halo, lens flare, headstone, engraved marker, inscription, cross",16:9,,Unmarked stones only — matches practice and avoids script.,,
44,16 Guardrail 2,15:40,40,"a large ornate house and a bare small dwelling in the same frame, the same light falling equally on both, cinematic still, anamorphic 35mm, shallow depth of field, warm low-angle desert light, airborne dust catching the sun, muted earth palette of ochre sand bone and oxidised brass with deep indigo shadow, soft natural film grain, high dynamic range, restrained painterly photographic realism, historically grounded 7th-century Hijaz, no text, no arabic script, no calligraphy, no lettering, no watermark","text, letters, arabic script, calligraphy, pseudo-arabic, numerals, signage, watermark, logo, human face, portrait, figure in foreground, prophet, religious figure, halo, glowing person, statue, idol, crucifix, modern clothing, wristwatch, plastic, eyeglasses, power lines, vehicles, anachronistic architecture, extra fingers, deformed hands, cartoon, anime, neon, oversaturated, HDR halo, lens flare",16:9,,,,
45,18 The turn,18:00,50,"a vast starfield over a black desert horizon, no foreground, immense scale, cinematic still, anamorphic 35mm, shallow depth of field, warm low-angle desert light, airborne dust catching the sun, muted earth palette of ochre sand bone and oxidised brass with deep indigo shadow, soft natural film grain, high dynamic range, restrained painterly photographic realism, historically grounded 7th-century Hijaz, no text, no arabic script, no calligraphy, no lettering, no watermark","text, letters, arabic script, calligraphy, pseudo-arabic, numerals, signage, watermark, logo, human face, portrait, figure in foreground, prophet, religious figure, halo, glowing person, statue, idol, crucifix, modern clothing, wristwatch, plastic, eyeglasses, power lines, vehicles, anachronistic architecture, extra fingers, deformed hands, cartoon, anime, neon, oversaturated, HDR halo, lens flare, milky way oversaturation, purple nebula, sci-fi",16:9,,Hold long. This is the peak.,,
46,19 The record,19:40,40,"extreme macro of an ancient papyrus fragment's fibre texture, torn edge, completely blank surface with no script whatsoever, raking light, cinematic still, anamorphic 35mm, shallow depth of field, warm low-angle desert light, airborne dust catching the sun, muted earth palette of ochre sand bone and oxidised brass with deep indigo shadow, soft natural film grain, high dynamic range, restrained painterly photographic realism, historically grounded 7th-century Hijaz, no text, no arabic script, no calligraphy, no lettering, no watermark","text, letters, arabic script, calligraphy, pseudo-arabic, numerals, signage, watermark, logo, human face, portrait, figure in foreground, prophet, religious figure, halo, glowing person, statue, idol, crucifix, modern clothing, wristwatch, plastic, eyeglasses, power lines, vehicles, anachronistic architecture, extra fingers, deformed hands, cartoon, anime, neon, oversaturated, HDR halo, lens flare, script, writing, ink, arabic script, greek script, any marks",16:9,papyrus,"HIGH RISK. If script persists, generate blank and composite.",,
47,21 Artifact,22:00,50,"museum still life, a small torn papyrus fragment on a neutral grey mount under soft even light, frayed edges, completely blank surface with no script whatsoever, shallow depth of field, cinematic still, anamorphic 35mm, shallow depth of field, warm low-angle desert light, airborne dust catching the sun, muted earth palette of ochre sand bone and oxidised brass with deep indigo shadow, soft natural film grain, high dynamic range, restrained painterly photographic realism, historically grounded 7th-century Hijaz, no text, no arabic script, no calligraphy, no lettering, no watermark","text, letters, arabic script, calligraphy, pseudo-arabic, numerals, signage, watermark, logo, human face, portrait, figure in foreground, prophet, religious figure, halo, glowing person, statue, idol, crucifix, modern clothing, wristwatch, plastic, eyeglasses, power lines, vehicles, anachronistic architecture, extra fingers, deformed hands, cartoon, anime, neon, oversaturated, HDR halo, lens flare, script, writing, ink, arabic script, greek script, any marks, museum label, placard",16:9,papyrus,HIGH RISK. Same as 46. Composite fallback.,,
48,23 Callback,25:30,50,"a wide gravel plain under a hazy white sky, a low bare granite mountain at the far edge, heat shimmer at dawn instead of harsh midday, completely empty, first light on the granite mountain, cinematic still, anamorphic 35mm, shallow depth of field, warm low-angle desert light, airborne dust catching the sun, muted earth palette of ochre sand bone and oxidised brass with deep indigo shadow, soft natural film grain, high dynamic range, restrained painterly photographic realism, historically grounded 7th-century Hijaz, no text, no arabic script, no calligraphy, no lettering, no watermark","text, letters, arabic script, calligraphy, pseudo-arabic, numerals, signage, watermark, logo, human face, portrait, figure in foreground, prophet, religious figure, halo, glowing person, statue, idol, crucifix, modern clothing, wristwatch, plastic, eyeglasses, power lines, vehicles, anachronistic architecture, extra fingers, deformed hands, cartoon, anime, neon, oversaturated, HDR halo, lens flare, crowd, tents, people",16:9,plain,Matched pair with 1 — SAME SEED. Callback fails otherwise.,,
